Please enter the number of the paper you are grading.	Intent: Shuffle cards per instructions (Check all that apply)	Intent: Identify original shuffle method as more efficient (Check all that apply)	Number of Syntax Errors (Enter as number)	Any other comments on Question 1	Intent: Find and return length of longest word in wordList	"Intent: Create two words, combine and test for dictionary addition, then add"	Intent: Create signature capable of accepting data to specify characters to reveal	Number of Syntax Errors (Enter as number)	Any other comments on Question 2
6	"+ .5 Use loop, controlled by size, + 1 Access random number as integer, + 1 Use add method with parameters of cards.remove(ranNum), + .5 Set cards Array = temp Array"	"+ 1 Original shuffle method is more efficient, + .5 In new shuffle, removing a card from cards list requires shifting higher index elements in cards list to a lower index position and occurs size times."	0	the array list should have been a type card arraylist	"+ 1 Setup loop to step through wordlist, + 1 control if statement in loop to test str > max"	"+ 1 Loop through entire wordlist size, + .5 Nested loop to access second word"	+ 1 return compoundWords	2	
6	"+ 1 Access random number as integer, + 1 Use add method with parameters of cards.remove(ranNum), + .5 Set cards Array = temp Array"	+ 1 Original shuffle method is more efficient	2		"+ 1 Setup loop to step through wordlist, + 1 control if statement in loop to test str > max"	"+ 1 Loop through entire wordlist size, + .5 Access first word through get method, + 1 Control statement numLetter = letterSum, + .5 Either word1 = w1 + w2 and word2 = w2 + w1"	+ 1 return compoundWords	5	
7	"+ .5 Set size to size of card, + 1 Access random number as integer, + 1 Use add method with parameters of cards.remove(ranNum), + .5 Set cards Array = temp Array"	"+ 1 Original shuffle method is more efficient, + .5 New shuffle removes card from the list cards each iteration, + .5 In new shuffle, removing a card from cards list requires shifting higher index elements in cards list to a lower index position and occurs size times."	0	"the ""size = cards.size()"" is in the for loop. Didn't use the .add but instead did another loop... I mean it works but it's weird."	"+ 1 Setup loop to step through wordlist, + 1 control if statement in loop to test str > max, + 1 return max"	"+ 1 Loop through entire wordlist size, + .5 Access first word through get method, + .5 Nested loop to access second word"	"+ 1 Create ArrayList of type String, + .5 find a max value using findMaxLength, + .5 loop starting at 3 characters to max, + 1 addCompoundWords with parameters of compoundWords, j, + 1 return compoundWords"	2	"Part B was really weird. Used a lot of loops, not nested though. So stuff dies in the loops and is referenced in other places. Also there is no double search to make the two words. There is one loop, then another one AFTER it, so they aren't really connected that well."
7	"+ .5 Create ArrayList of type Card, + .5 Use loop, controlled by size, + 1 Access random number as integer, + 1 Use add method with parameters of cards.remove(ranNum)"	"+ 1 Original shuffle method is more efficient, + .5 In new shuffle, removing a card from cards list requires shifting higher index elements in cards list to a lower index position and occurs size times."	1		"+ 1 Setup loop to step through wordlist, + 1 control if statement in loop to test str > max, + 1 return max"	"+ 1 Loop through entire wordlist size, + .5 Nested loop to access second word, + .5 Access second worth through get method, + 1 Control statement numLetter = letterSum, + .5 Check for dictionary entry on both words"	"+ 1 Create ArrayList of type String, + .5 find a max value using findMaxLength, + .5 loop starting at 3 characters to max, + 1 addCompoundWords with parameters of compoundWords, j, + 1 return compoundWords"	4	the findmaxlength method creates an extra unnecessary variable. the add compundwords method does not concatenate the strings.
8	"+ .5 Set size to size of card, + .5 Use loop, controlled by size, + 1 Use add method with parameters of cards.remove(ranNum), + .5 Set cards Array = temp Array"		0		"+ 1 Setup loop to step through wordlist, + 1 control if statement in loop to test str > max, + 1 return max"	"+ 1 Loop through entire wordlist size, + .5 Access first word through get method, + .5 Nested loop to access second word, + .5 Access second worth through get method, + .5 find numLetters in two new words, + 1 Control statement numLetter = letterSum, + .5 Either word1 = w1 + w2 and word2 = w2 + w1, + .5 Check for dictionary entry on both words"	+ .5 find a max value using findMaxLength		return
8	"+ .5 Set size to size of card, + .5 Use loop, controlled by size, + 1 Access random number as integer, + 1 Use add method with parameters of cards.remove(ranNum), + .5 Set cards Array = temp Array"	"+ .5 New shuffle removes card from the list cards each iteration, + .5 In new shuffle, removing a card from cards list requires shifting higher index elements in cards list to a lower index position and occurs size times."	0		"+ 1 Setup loop to step through wordlist, + 1 control if statement in loop to test str > max, + 1 return max"	"+ 1 Loop through entire wordlist size, + .5 Access first word through get method, + .5 Nested loop to access second word, + .5 Access second worth through get method, + .5 find numLetters in two new words, + 1 Control statement numLetter = letterSum, + .5 Either word1 = w1 + w2 and word2 = w2 + w1, + .5 Check for dictionary entry on both words"	"+ .5 find a max value using findMaxLength, + .5 loop starting at 3 characters to max, + 1 addCompoundWords with parameters of compoundWords, j"	4	
9	"+ .5 Set size to size of card, + .5 Create ArrayList of type Card, + .5 Use loop, controlled by size, + 1 Access random number as integer, + 1 Use add method with parameters of cards.remove(ranNum), + .5 Set cards Array = temp Array"	+ 1 Original shuffle method is more efficient			"+ 1 Setup loop to step through wordlist, + 1 control if statement in loop to test str > max"	"+ 1 Loop through entire wordlist size, + .5 Access first word through get method, + .5 Nested loop to access second word, + .5 Access second worth through get method, + .5 find numLetters in two new words, + 1 Control statement numLetter = letterSum, + .5 Either word1 = w1 + w2 and word2 = w2 + w1, + .5 Check for dictionary entry on both words"	"+ 1 Create ArrayList of type String, + .5 find a max value using findMaxLength, + .5 loop starting at 3 characters to max, + 1 addCompoundWords with parameters of compoundWords, j, + 1 return compoundWords"		
9	"+ .5 Set size to size of card, + .5 Create ArrayList of type Card, + .5 Use loop, controlled by size, + 1 Access random number as integer, + 1 Use add method with parameters of cards.remove(ranNum), + .5 Set cards Array = temp Array"	"+ 1 Original shuffle method is more efficient, + .5 Original method makes 1 swap per loop iteration"	1.5	1b give a reason why you shouldn't use the new method	"+ 1 Setup loop to step through wordlist, + 1 control if statement in loop to test str > max, + 1 return max"	"+ 1 Loop through entire wordlist size, + .5 Access first word through get method, + .5 Nested loop to access second word, + .5 Access second worth through get method, + .5 find numLetters in two new words, + 1 Control statement numLetter = letterSum, + .5 Either word1 = w1 + w2 and word2 = w2 + w1, + .5 Check for dictionary entry on both words"	"+ 1 Create ArrayList of type String, + .5 find a max value using findMaxLength, + .5 loop starting at 3 characters to max, + 1 return compoundWords"	1	don't see the addCompundWords parameters with compoundWords. Try to use name that they are given to you
10	"+ .5 Create ArrayList of type Card, + .5 Use loop, controlled by size, + 1 Use add method with parameters of cards.remove(ranNum), + .5 Set cards Array = temp Array"	"+ 1 Original shuffle method is more efficient, + .5 Original method makes 1 swap per loop iteration"	3	explain why new method doesn't work for 1b.	"+ 1 Setup loop to step through wordlist, + 1 control if statement in loop to test str > max, + 1 return max"	"+ 1 Loop through entire wordlist size, + .5 Access first word through get method, + .5 Nested loop to access second word, + .5 Access second worth through get method, + 1 Control statement numLetter = letterSum, + .5 Either word1 = w1 + w2 and word2 = w2 + w1, + .5 Check for dictionary entry on both words"	"+ 1 Create ArrayList of type String, + .5 find a max value using findMaxLength, + .5 loop starting at 3 characters to max, + 1 addCompoundWords with parameters of compoundWords, j, + 1 return compoundWords"	0.5	
10	"+ .5 Set size to size of card, + .5 Create ArrayList of type Card, + .5 Use loop, controlled by size, + 1 Access random number as integer, + 1 Use add method with parameters of cards.remove(ranNum), + .5 Set cards Array = temp Array"	"+ 1 Original shuffle method is more efficient, + .5 New shuffle removes card from the list cards each iteration, + .5 In new shuffle, removing a card from cards list requires shifting higher index elements in cards list to a lower index position and occurs size times."	3	"One of the errors is an out of bounds error, because the random integer becomes larger as the loop iterates, and the Arraylist cards becomes smaller as the loop iterates."	"+ 1 Setup loop to step through wordlist, + 1 control if statement in loop to test str > max, + 1 return max"	"+ 1 Loop through entire wordlist size, + .5 Access first word through get method, + .5 Nested loop to access second word, + .5 Access second worth through get method, + .5 find numLetters in two new words, + 1 Control statement numLetter = letterSum, + .5 Check for dictionary entry on both words"	"+ 1 Create ArrayList of type String, + .5 find a max value using findMaxLength, + .5 loop starting at 3 characters to max, + 1 addCompoundWords with parameters of compoundWords, j, + 1 return compoundWords"	2	
11	"+ .5 Set size to size of card, + .5 Create ArrayList of type Card, + .5 Use loop, controlled by size, + 1 Access random number as integer, + 1 Use add method with parameters of cards.remove(ranNum), + .5 Set cards Array = temp Array"		0		"+ 1 Setup loop to step through wordlist, + 1 control if statement in loop to test str > max, + 1 return max"	"+ 1 Loop through entire wordlist size, + .5 Access first word through get method, + .5 Nested loop to access second word, + .5 Access second worth through get method, + 1 Control statement numLetter = letterSum"	"+ 1 Create ArrayList of type String, + .5 find a max value using findMaxLength, + .5 loop starting at 3 characters to max, + 1 addCompoundWords with parameters of compoundWords, j"	1	
11	"+ .5 Set size to size of card, + .5 Create ArrayList of type Card, + .5 Use loop, controlled by size, + 1 Access random number as integer, + 1 Use add method with parameters of cards.remove(ranNum), + .5 Set cards Array = temp Array"		0		"+ 1 Setup loop to step through wordlist, + 1 control if statement in loop to test str > max, + 1 return max"	"+ 1 Loop through entire wordlist size, + .5 Access first word through get method, + .5 Nested loop to access second word, + .5 Access second worth through get method, + .5 find numLetters in two new words, + 1 Control statement numLetter = letterSum, + .5 Check for dictionary entry on both words"	"+ 1 Create ArrayList of type String, + .5 find a max value using findMaxLength, + .5 loop starting at 3 characters to max, + 1 addCompoundWords with parameters of compoundWords, j, + 1 return compoundWords"	1	
12	+ .5 Set size to size of card	+ .5 Create ArrayList of type Card	1	controlled by size	+ 1 Access random number as integer	+ 1 Use add method with parameters of cards.remove(ranNum)	"+ 1 addCompoundWords with parameters of compoundWords, j"	1	
12	"+ .5 Set size to size of card, + .5 Create ArrayList of type Card, + .5 Use loop, controlled by size, + 1 Access random number as integer, + 1 Use add method with parameters of cards.remove(ranNum)"	+ 1 Original shuffle method is more efficient	1		"+ 1 Setup loop to step through wordlist, + 1 control if statement in loop to test str > max, + 1 return max"	"+ 1 Loop through entire wordlist size, + .5 Nested loop to access second word, + .5 Access second worth through get method, + 1 Control statement numLetter = letterSum, + .5 Check for dictionary entry on both words"	+ 1 return compoundWords	1	
13	"+ .5 Set size to size of card, + .5 Create ArrayList of type Card, + .5 Use loop, controlled by size, + 1 Access random number as integer, + 1 Use add method with parameters of cards.remove(ranNum), + .5 Set cards Array = temp Array"	"+ 1 Original shuffle method is more efficient, + .5 Original method runs size Ð 1 times"	0		"+ 1 Setup loop to step through wordlist, + 1 control if statement in loop to test str > max, + 1 return max"	"+ 1 Loop through entire wordlist size, + .5 Access first word through get method, + .5 Nested loop to access second word, + .5 Access second worth through get method, + .5 find numLetters in two new words, + 1 Control statement numLetter = letterSum, + .5 Either word1 = w1 + w2 and word2 = w2 + w1, + .5 Check for dictionary entry on both words"	"+ 1 Create ArrayList of type String, + .5 find a max value using findMaxLength, + .5 loop starting at 3 characters to max, + 1 addCompoundWords with parameters of compoundWords, j, + 1 return compoundWords"	1	Wrote List instead of ArrayList in 2C
13	"+ .5 Set size to size of card, + .5 Create ArrayList of type Card, + .5 Use loop, controlled by size, + 1 Access random number as integer, + 1 Use add method with parameters of cards.remove(ranNum), + .5 Set cards Array = temp Array"	"+ 1 Original shuffle method is more efficient, + .5 Original method makes 1 swap per loop iteration, + .5 In new shuffle, removing a card from cards list requires shifting higher index elements in cards list to a lower index position and occurs size times."		Seems good	"+ 1 Setup loop to step through wordlist, + 1 control if statement in loop to test str > max, + 1 return max"	"+ 1 Loop through entire wordlist size, + .5 Access first word through get method, + .5 Nested loop to access second word, + .5 Access second worth through get method, + .5 find numLetters in two new words, + 1 Control statement numLetter = letterSum, + .5 Either word1 = w1 + w2 and word2 = w2 + w1, + .5 Check for dictionary entry on both words"	"+ 1 Create ArrayList of type String, + .5 loop starting at 3 characters to max, + 1 addCompoundWords with parameters of compoundWords, j, + 1 return compoundWords"		Horrible hand writing I feel bad for you Mr. P
14	"+ .5 Set size to size of card, + .5 Create ArrayList of type Card, + .5 Use loop, controlled by size, + 1 Access random number as integer, + 1 Use add method with parameters of cards.remove(ranNum), + .5 Set cards Array = temp Array"	+ 1 Original shuffle method is more efficient	0		"+ 1 Setup loop to step through wordlist, + 1 control if statement in loop to test str > max, + 1 return max"	"+ .5 Access first word through get method, + .5 Access second worth through get method, + .5 find numLetters in two new words, + 1 Control statement numLetter = letterSum, + .5 Either word1 = w1 + w2 and word2 = w2 + w1, + .5 Check for dictionary entry on both words"	"+ 1 Create ArrayList of type String, + .5 find a max value using findMaxLength, + .5 loop starting at 3 characters to max, + 1 return compoundWords"	1	"(syntax error was creating a List not ArrayList in part c, which isn't possible since List is abstract - I gave them credit for creating the ArrayList because it seemed the intent was there)

Also, the person added compounded words to wordlist if they weren't in the dictionary, which the problem didn't ask for"
14	"+ .5 Set size to size of card, + .5 Create ArrayList of type Card, + .5 Use loop, controlled by size, + 1 Access random number as integer, + 1 Use add method with parameters of cards.remove(ranNum), + .5 Set cards Array = temp Array"	"+ 1 Original shuffle method is more efficient, + .5 Original method makes 1 swap per loop iteration"		Very nice handwriting and also very nice code	"+ 1 Setup loop to step through wordlist, + 1 return max"	"+ 1 Loop through entire wordlist size, + .5 Access first word through get method, + .5 Access second worth through get method, + .5 find numLetters in two new words, + 1 Control statement numLetter = letterSum, + .5 Either word1 = w1 + w2 and word2 = w2 + w1, + .5 Check for dictionary entry on both words"	"+ 1 Create ArrayList of type String, + .5 find a max value using findMaxLength, + .5 loop starting at 3 characters to max, + 1 addCompoundWords with parameters of compoundWords, j, + 1 return compoundWords"		Very nice
15	"+ .5 Set size to size of card, + 1 Access random number as integer"	"+ 1 Original shuffle method is more efficient, + .5 Original method runs size Ð 1 times"	0	feelsbadman this person coded the wrong method :((((((	"+ 1 Setup loop to step through wordlist, + 1 control if statement in loop to test str > max"			1	
16	"+ .5 Set size to size of card, + .5 Create ArrayList of type Card, + .5 Use loop, controlled by size, + 1 Access random number as integer, + 1 Use add method with parameters of cards.remove(ranNum), + .5 Set cards Array = temp Array"	+ 1 Original shuffle method is more efficient	0	no	"+ 1 Setup loop to step through wordlist, + 1 control if statement in loop to test str > max, + 1 return max"	"+ 1 Loop through entire wordlist size, + .5 Access first word through get method, + .5 Nested loop to access second word, + .5 Access second worth through get method, + .5 find numLetters in two new words, + 1 Control statement numLetter = letterSum, + .5 Either word1 = w1 + w2 and word2 = w2 + w1, + .5 Check for dictionary entry on both words"	"+ 1 Create ArrayList of type String, + .5 find a max value using findMaxLength, + .5 loop starting at 3 characters to max, + 1 addCompoundWords with parameters of compoundWords, j, + 1 return compoundWords"	1	
16	"+ .5 Set size to size of card, + .5 Create ArrayList of type Card, + .5 Use loop, controlled by size, + 1 Access random number as integer, + 1 Use add method with parameters of cards.remove(ranNum), + .5 Set cards Array = temp Array"	+ 1 Original shuffle method is more efficient	0		"+ 1 Setup loop to step through wordlist, + 1 control if statement in loop to test str > max, + 1 return max"	"+ 1 Loop through entire wordlist size, + .5 Access first word through get method, + .5 Nested loop to access second word, + .5 Access second worth through get method, + .5 find numLetters in two new words, + 1 Control statement numLetter = letterSum, + .5 Either word1 = w1 + w2 and word2 = w2 + w1, + .5 Check for dictionary entry on both words"	"+ 1 Create ArrayList of type String, + .5 find a max value using findMaxLength, + .5 loop starting at 3 characters to max, + 1 addCompoundWords with parameters of compoundWords, j, + 1 return compoundWords"	0	
17	"+ .5 Set size to size of card, + .5 Create ArrayList of type Card, + .5 Use loop, controlled by size, + 1 Access random number as integer, + 1 Use add method with parameters of cards.remove(ranNum), + .5 Set cards Array = temp Array"		2		"+ 1 Setup loop to step through wordlist, + 1 control if statement in loop to test str > max, + 1 return max"	"+ 1 Loop through entire wordlist size, + .5 Access first word through get method, + .5 Access second worth through get method, + .5 find numLetters in two new words, + 1 Control statement numLetter = letterSum, + .5 Either word1 = w1 + w2 and word2 = w2 + w1, + .5 Check for dictionary entry on both words"	"+ 1 Create ArrayList of type String, + .5 find a max value using findMaxLength, + 1 return compoundWords"	5	
17	"+ .5 Set size to size of card, + .5 Create ArrayList of type Card, + .5 Use loop, controlled by size, + 1 Access random number as integer, + 1 Use add method with parameters of cards.remove(ranNum), + .5 Set cards Array = temp Array"	+ .5 New shuffle removes card from the list cards each iteration	1		"+ 1 Setup loop to step through wordlist, + 1 control if statement in loop to test str > max, + 1 return max"	"+ .5 Access first word through get method, + .5 Access second worth through get method, + .5 find numLetters in two new words, + 1 Control statement numLetter = letterSum, + .5 Either word1 = w1 + w2 and word2 = w2 + w1, + .5 Check for dictionary entry on both words"	"+ 1 Create ArrayList of type String, + .5 find a max value using findMaxLength, + .5 loop starting at 3 characters to max, + 1 addCompoundWords with parameters of compoundWords, j, + 1 return compoundWords"	4	
18	"+ .5 Set size to size of card, + .5 Use loop, controlled by size, + 1 Access random number as integer, + 1 Use add method with parameters of cards.remove(ranNum), + .5 Set cards Array = temp Array"	"+ 1 Original shuffle method is more efficient, + .5 Original method runs size Ð 1 times"	1		"+ 1 Setup loop to step through wordlist, + 1 control if statement in loop to test str > max, + 1 return max"	"+ 1 Loop through entire wordlist size, + .5 Access first word through get method, + .5 Nested loop to access second word, + .5 Access second worth through get method, + .5 find numLetters in two new words, + 1 Control statement numLetter = letterSum, + .5 Check for dictionary entry on both words"	"+ 1 Create ArrayList of type String, + .5 find a max value using findMaxLength, + 1 addCompoundWords with parameters of compoundWords, j, + 1 return compoundWords"	0	
18	"+ .5 Set size to size of card, + .5 Use loop, controlled by size, + 1 Access random number as integer, + 1 Use add method with parameters of cards.remove(ranNum)"	"+ 1 Original shuffle method is more efficient, + .5 Original method runs size Ð 1 times, + .5 Original method makes 1 swap per loop iteration"	0		"+ 1 Setup loop to step through wordlist, + 1 control if statement in loop to test str > max, + 1 return max"	"+ 1 Loop through entire wordlist size, + .5 Access first word through get method, + .5 Nested loop to access second word, + .5 Access second worth through get method, + 1 Control statement numLetter = letterSum, + .5 Either word1 = w1 + w2 and word2 = w2 + w1, + .5 Check for dictionary entry on both words"	"+ 1 Create ArrayList of type String, + .5 find a max value using findMaxLength, + .5 loop starting at 3 characters to max, + 1 addCompoundWords with parameters of compoundWords, j, + 1 return compoundWords"	0	
19	"+ .5 Set size to size of card, + 1 Access random number as integer, + .5 Set cards Array = temp Array"	"+ .5 New shuffle removes card from the list cards each iteration, + .5 In new shuffle, removing a card from cards list requires shifting higher index elements in cards list to a lower index position and occurs size times."	0	cool	+ 1 Setup loop to step through wordlist			0	you tried
19	"+ .5 Set size to size of card, + .5 Use loop, controlled by size, + 1 Access random number as integer, + .5 Set cards Array = temp Array"	+ .5 New shuffle removes card from the list cards each iteration	0		"+ 1 Setup loop to step through wordlist, + 1 control if statement in loop to test str > max, + 1 return max"	+ .5 find numLetters in two new words		0	
20	"+ .5 Set size to size of card, + .5 Use loop, controlled by size, + 1 Access random number as integer, + .5 Set cards Array = temp Array"	+ .5 Original method makes 1 swap per loop iteration	2	Generalized Question 1- May have gotten more points then I gave them	+ 1 Setup loop to step through wordlist			2	Wrote pseudocode for parts b and c- ran out of time
20	"+ .5 Set size to size of card, + .5 Create ArrayList of type Card, + .5 Use loop, controlled by size, + 1 Access random number as integer, + 1 Use add method with parameters of cards.remove(ranNum), + .5 Set cards Array = temp Array"				+ 1 Setup loop to step through wordlist				"Didn't code any java, just explained the logic."
21	"+ .5 Set size to size of card, + .5 Create ArrayList of type Card, + .5 Use loop, controlled by size, + 1 Access random number as integer, + .5 Set cards Array = temp Array"	"+ 1 Original shuffle method is more efficient, + .5 Original method runs size Ð 1 times, + .5 New shuffle removes card from the list cards each iteration"	1	for loop control statement is <= cards.size() rather than just <	"+ 1 Setup loop to step through wordlist, + 1 control if statement in loop to test str > max, + 1 return max"	"+ 1 Loop through entire wordlist size, + .5 Nested loop to access second word, + .5 find numLetters in two new words, + 1 Control statement numLetter = letterSum, + .5 Check for dictionary entry on both words"		4	
22	"+ .5 Set size to size of card, + .5 Use loop, controlled by size, + 1 Access random number as integer, + 1 Use add method with parameters of cards.remove(ranNum), + .5 Set cards Array = temp Array"	+ .5 New shuffle removes card from the list cards each iteration	2	The handwriting is hard to read.	"+ 1 Setup loop to step through wordlist, + 1 control if statement in loop to test str > max, + 1 return max"	"+ 1 Loop through entire wordlist size, + .5 Access first word through get method, + .5 Nested loop to access second word, + .5 Access second worth through get method, + .5 find numLetters in two new words, + 1 Control statement numLetter = letterSum, + .5 Either word1 = w1 + w2 and word2 = w2 + w1, + .5 Check for dictionary entry on both words"	"+ 1 Create ArrayList of type String, + .5 find a max value using findMaxLength, + 1 addCompoundWords with parameters of compoundWords, j, + 1 return compoundWords"	6	
22	"+ .5 Set size to size of card, + .5 Use loop, controlled by size, + 1 Access random number as integer, + 1 Use add method with parameters of cards.remove(ranNum), + .5 Set cards Array = temp Array"	"+ .5 Original method runs size Ð 1 times, + .5 Original method makes 1 swap per loop iteration, + .5 In new shuffle, removing a card from cards list requires shifting higher index elements in cards list to a lower index position and occurs size times."	1		"+ 1 Setup loop to step through wordlist, + 1 control if statement in loop to test str > max, + 1 return max"	"+ 1 Loop through entire wordlist size, + .5 Access first word through get method, + .5 Nested loop to access second word, + .5 Access second worth through get method, + .5 find numLetters in two new words, + 1 Control statement numLetter = letterSum, + .5 Either word1 = w1 + w2 and word2 = w2 + w1, + .5 Check for dictionary entry on both words"	"+ 1 Create ArrayList of type String, + .5 find a max value using findMaxLength, + 1 addCompoundWords with parameters of compoundWords, j, + 1 return compoundWords"	3	
23	"+ .5 Set size to size of card, + .5 Create ArrayList of type Card, + .5 Use loop, controlled by size, + 1 Access random number as integer"		0		"+ 1 Setup loop to step through wordlist, + 1 return max"	"+ 1 Loop through entire wordlist size, + .5 Access first word through get method, + .5 Nested loop to access second word, + .5 Access second worth through get method, + .5 find numLetters in two new words"		2	
